Rank,Athletic-Vecenie,Tankathon,Rookie-Wire-Kalbrosky,Ringer-OConnor,NBCSportsNorthwest-Mickanen,Adam-Spinella,ESPN-Givony,CBS-Boone,CBS-Parrish,SI-Woo,NBADraftNet,NBCSports-Forsberg-Snyder,Yahoo-Peek,BR-Wasserman,NetScouts,SBNation-ODonnell,BabcockHoops
30,Robert Woodard,Vernon Carey,Nico Mannion,Robert Woodard,Xavier Tillman,Xavier Tillman,Udoka Azubuike,RJ Hampton,Zeke Nnaji,Desmond Bane,Devon Dotson,Robert Woodard,Isaiah Stewart,Desmond Bane,Tyrell Terry,Tre Jones,Vernon Carey
31,Tyrell Terry,Robert Woodard,Killian Tillie,,,Robert Woodard,Jahmius Ramsey,,,Tyler Bey,Isaiah Stewart,,,,Vernon Carey,,Isaiah Joe
32,Elijah Hughes,Jaden McDaniels,Jaden McDaniels,,,Elijah Hughes,Vernon Carey,,,Xavier Tillman,Tyler Bey,,,,Payton Pritchard,,Daniel Oturu
33,Zeke Nnaji,Nico Mannion,Zeke Nnaji,,,Tre Jones,Zeke Nnaji,,,Zeke Nnaji,Elijah Hughes,,,,Udoka Azubuike,,Theo Maledon
34,Cassius Winston,Jahmius Ramsey,Isaiah Joe,,,Isaiah Joe,Daniel Oturu,,,Nico Mannion,Immanuel Quickley,,,,Nico Mannion,,Robert Woodard
35,Daniel Oturu,Zeke Nnaji,Tre Jones,,,Nico Mannion,Devon Dotson,,,Tre Jones,Daniel Oturu,,,,Cassius Stanley,,Jordan Nwora
36,Isaiah Joe,Udoka Azubuike,Cassius Winston,,,Tyler Bey,Tre Jones,,,Isaiah Joe,Paul Reed,,,,Zeke Nnaji,,Jalen Harris
37,Cassius Stanley,Cassius Winston,Jahmius Ramsey,,,Daniel Oturu,Payton Pritchard,,,Cassius Winston,Reggie Perry,,,,Malachi Flynn,,Udoka Azubuike
38,Immanuel Quickley,Xavier Tillman,Theo Maledon,,,Grant Riller,Malachi Flynn,,,Immanuel Quickley,Isaiah Joe,,,,Desmond Bane,,Josh Green
39,Nico Mannion,Isaiah Joe,Mason Jones,,,Jahmius Ramsey,Grant Riller,,,Daniel Oturu,Filip Petrusev,,,,Elijah Hughes,,Naji Marshall
40,Tyler Bey,Cassius Stanley,Yoeli Childs,,,Cassius Stanley,Xavier Tillman,,,Jordan Nwora,Udoka Azubuike,,,,Jahmius Ramsey,,Jahmius Ramsey
41,Udoka Azubuike,Reggie Perry,Leandro Bolmaro,,,Killian Tillie,Desmond Bane,,,Grant Riller,Cassius Stanley,,,,Daniel Oturu,,Desmond Bane
42,Sam Merrill,Daniel Oturu,Yam Madar,,,Reggie Perry,Tyrell Terry,,,Cassius Stanley,CJ Elleby,,,,Xavier Tillman,,Ty-Shon Alexander
43,Devon Dotson,Devon Dotson,Elijah Hughes,,,Vernon Carey,Elijah Hughes,,,Robert Woodard,Tre Jones,,,,Grant Riller,,Tyler Bey
44,Jordan Nwora,Jordan Nwora,Rokas Jokubaitis,,,Devon Dotson,Jordan Nwora,,,Devon Dotson,Malachi Flynn,,,,Cassius Winston,,Nico Mannion
45,Jahmius Ramsey,Killian Tillie,Abdoulaye Ndoye,,,Immanuel Quickley,Skylar Mays,,,Skylar Mays,Payton Pritchard,,,,Jordan Nwora,,Devon Dotson
46,Payton Pritchard,Grant Riller,Jay Scrubb,,,Jay Scrubb,Isaiah Joe,,,Sam Merrill,Nate Hinton,,,,Tre Jones,,Paul Reed
47,Skylar Mays,Abdoulaye Ndoye,Payton Pritchard,,,Marko Simonovic,Yam Madar,,,Udoka Azubuike,Grant Riller,,,,Ashton Hagans,,Marko Simonovic
48,Killian Tillie,Paul Reed,Xavier Tillman,,,Mason Jones,Abdoulaye Ndoye,,,Payton Pritchard,Ashton Hagans,,,,Abdoulaye Ndoye,,Grant Riller
49,Vernon Carey,Skylar Mays,Justinian Jessup,,,Rokas Jokubaitis,Reggie Perry,,,Killian Tillie,Jordan Nwora,,,,Reggie Perry,,Reggie Perry
50,Jay Scrubb,Elijah Hughes,Skylar Mays,,,Jordan Nwora,Cassius Stanley,,,Paul Reed,Cassius Winston,,,,Immanuel Quickley,,Cassius Winston
51,Grant Riller,Sam Merrill,Borisa Simanic,,,Yam Madar,Paul Reed,,,Elijah Hughes,Lamar Stevens,,,,Nick Richards,,Xavier Tillman
52,Mason Jones,Immanuel Quickley,Lamar Stevens,,,Cassius Winston,Immanuel Quickley,,,Paul Eboua,Jay Scrubb,,,,Omer Yurtseven,,Nick Richards
53,Nick Richards,Payton Pritchard,Tyler Bey,,,Paul Reed,Killian Tillie,,,Kaleb Wesson,Nick Richards,,,,Giorgos Kalaitzakis,,Tre Jones
54,Paul Reed,Markus Howard,Paul Reed,,,Udoka Azubuike,Ashton Hagans,,,Reggie Perry,Austin Wiley,,,,Jalen Harris,,Josh Hall
55,Abdoulaye Ndoye,Ashton Hagans,Immanuel Quickley,,,Henri Drell,Kenyon Martin,,,Josh Hall,Omer Yurtseven,,,,Paul Eboua,,Skylar Mays
56,Naji Marshall,Yam Madar,Daniel Oturu,,,Karim Mane,Paul Eboua,,,Nick Richards,Markus Howard,,,,Ty-Shon Alexander,,Kristian Doolittle
57,Kenyon Martin,Nick Richards,Ty-Shon Alexander,,,Saben Lee,Nick Richards,,,Ashton Hagans,Karim Mane,,,,Killian Tillie,,Payton Pritchard
58,Josh Hall,Paul Eboua,Marko Simonovic,,,Paul Ebouta,Nate Hinton,,,Abdoulaye Ndoye,Tyrique Jones,,,,Yam Madar,,Abdoulaye Ndoye
59,Paul Eboua,Kaleb Wesson,Kaleb Wesson,,,Naji Marshall,Josh Hall,,,Mason Jones,Mamadi Diakite,,,,Jay Scrubb,,Omer Yurtseven
60,Justinian Jessup,,Lamine Diane,,,Abdoulaye Ndoye,Karim Mane,,,Markus Howard,Yoeli Childs,,,,Sam Merrill,,Lamar Stevens
